driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
neo4j,sub collection child range filter,build,2936.0,11.3041553133515,9.0,4.749083630971509,0.4201183988831345,5.0,18.0,20.0,23.0,29.0
postgres,sub collection child range filter,build,2914.0,42.72786547700755,37.0,13.043001015762197,0.30525749110450684,27.0,62.0,71.0,77.0,84.0
mongo,sub collection child range filter,exec,2950.0,4616.030508474576,2566.0,4158.5530970178725,0.9008937634582743,644.0,10529.1,11174.399999999998,12507.669999999996,14477.0
neo4j,sub collection child range filter,exec,2941.0,2862.318939136348,2197.0,1304.0648069372196,0.4555973092679522,1062.0,4727.0,5067.0,5757.199999999999,7703.0
postgres,sub collection child range filter,exec,2950.0,1401.6369491525425,1052.5,778.1250238799981,0.5551544744525092,448.0,2547.1,2682.0,2964.0599999999986,3648.0
mongo,sub collection child range filter,total,2950.0,5042.249152542373,3023.0,4192.080870447509,0.8313910605416639,946.0,10996.699999999999,11635.599999999997,12995.079999999998,14810.0
neo4j,sub collection child range filter,total,2941.0,2874.235294117647,2206.0,1301.7481400516965,0.45290242685274534,1079.0,4735.0,5074.0,5765.999999999998,7710.0
postgres,sub collection child range filter,total,2949.0,1445.4679552390642,1094.0,778.8051354587247,0.5387910071862638,481.0,2596.0,2729.6,3031.04,3704.0
mongo,sub collection collect all,build,1946.0,564.7965056526208,633.0,253.28794126619627,0.4484587612197118,279.0,810.5,923.0,1191.099999999999,1411.0
neo4j,sub collection collect all,build,1795.0,17.176044568245125,17.0,3.3149747999696726,0.19299989510380988,8.0,22.0,23.0,26.0,27.0
postgres,sub collection collect all,build,1859.0,35.31898870360409,34.0,11.715818745604201,0.3317144452782328,14.0,55.0,58.0,62.0,65.0
mongo,sub collection collect all,exec,1907.0,931.3828002097536,913.0,128.1537322726404,0.13759512441477267,663.0,1112.0,1166.6999999999998,1272.0,1324.0
neo4j,sub collection collect all,exec,1902.0,2217.7197686645636,2170.5,406.5913434733046,0.18333756555641847,1263.0,2797.8,2974.8999999999996,3248.99,3386.0
postgres,sub collection collect all,exec,1913.0,726.1296393099843,718.0,189.46510515630223,0.26092462681504686,349.0,990.8,1083.3999999999999,1211.8799999999999,1262.0
mongo,sub collection collect all,total,1925.0,1499.0088311688312,1521.0,297.9313857733532,0.1987522552092274,948.0,1883.6000000000001,2006.6,2270.92,2395.0
neo4j,sub collection collect all,total,1902.0,2236.9095688748685,2192.0,409.0271418372128,0.18285367791731844,1278.0,2817.0,2995.8499999999995,3280.8900000000003,3423.0
postgres,sub collection collect all,total,1918.0,766.0172054223149,758.0,200.8854868771825,0.26224670340979067,366.0,1042.3,1144.2999999999997,1278.6599999999999,1351.0
mongo,sub collection equality,build,2942.0,536.0047586675731,410.0,344.9698201117831,0.6435946967510624,137.0,995.0,1121.4999999999982,1318.7700000000004,1735.0
neo4j,sub collection equality,build,2427.0,7.292130201895344,7.0,0.890982508078385,0.12218411951103177,6.0,9.0,9.0,9.0,9.0
postgres,sub collection equality,build,2628.0,35.35502283105023,34.0,5.9857642214714435,0.16930449317132107,24.0,45.0,49.0,53.0,54.0
mongo,sub collection equality,exec,2950.0,4539.43186440678,2427.5,4169.214265175996,0.9184440673878989,467.0,10397.4,10796.3,12169.94999999999,15236.0
neo4j,sub collection equality,exec,2949.0,3026.8128179043742,2223.0,1727.3507393958173,0.5706830396574557,849.0,5371.0,5772.0,6828.32,9615.0
postgres,sub collection equality,exec,2949.0,1380.8646998982706,1025.0,838.1883232316708,0.6070024987194045,362.0,2550.0,2731.6,3075.56,4577.0
mongo,sub collection equality,total,2950.0,5082.825762711865,2847.5,4496.587830206924,0.8846629886852225,619.0,11402.0,11804.65,13267.789999999994,16740.0
neo4j,sub collection equality,total,2949.0,3035.3855544252287,2232.0,1727.6672102453822,0.5691755394060732,856.0,5379.0,5782.4,6835.32,9625.0
postgres,sub collection equality,total,2949.0,1420.5747711088504,1068.0,839.2103016413265,0.590754051605653,388.0,2599.4000000000005,2774.7999999999997,3125.68,4611.0
mongo,sub collection get one by id,build,2748.0,53.61062590975255,53.0,7.452052041059276,0.13900326501697566,34.0,64.0,68.0,73.0,74.0
neo4j,sub collection get one by id,build,2862.0,8.875262054507338,8.0,2.672007765573793,0.30106240797890615,3.0,13.0,14.0,16.389999999999873,17.0
postgres,sub collection get one by id,build,2754.0,32.684458968772695,32.0,4.110302403664359,0.12575708863932591,23.0,39.0,41.0,44.0,45.0
mongo,sub collection get one by id,exec,2846.0,649.4880534082923,632.0,76.42217653513684,0.11766525363184012,467.0,766.0,809.0,854.0,869.0
neo4j,sub collection get one by id,exec,2822.0,1096.2097802976612,1081.0,130.92339116097207,0.11943278879104835,766.0,1281.0,1345.0,1422.79,1445.0
postgres,sub collection get one by id,exec,2945.0,718.2587436332767,580.0,308.0314528806665,0.42885861900198313,301.0,1135.6,1198.7999999999997,1485.6799999999998,1821.0
mongo,sub collection get one by id,total,2827.0,703.2872302794482,688.0,79.0452421560362,0.11239396757513698,500.0,824.0,863.0,907.0,926.0
neo4j,sub collection get one by id,total,2820.0,1105.5762411347519,1089.0,131.16372819045188,0.11863833837079096,776.0,1291.0,1355.0,1436.0,1456.0
postgres,sub collection get one by id,total,2944.0,752.8172554347826,614.0,307.6661932529349,0.4086864255990587,331.0,1169.0,1230.6999999999998,1515.1400000000003,1846.0
mongo,sub collection id in list,build,2686.0,262.4210722263589,261.0,17.06766866652378,0.06503924597869781,222.0,286.0,298.0,309.0,312.0
neo4j,sub collection id in list,build,2674.0,11.87584143605086,12.0,1.4464864298302575,0.12180075303457956,8.0,14.0,15.0,16.0,16.0
postgres,sub collection id in list,build,2590.0,39.504247104247106,38.0,5.777965005001011,0.14626186874929256,23.0,48.0,52.0,56.0,58.0
mongo,sub collection id in list,exec,2838.0,871.1761804087386,850.0,100.89030172395773,0.11580929781232312,630.0,1024.3000000000002,1075.0,1136.63,1162.0
neo4j,sub collection id in list,exec,2846.0,1674.2055516514406,1647.0,197.6875317113459,0.11807841128966896,1135.0,1957.0,2057.75,2175.55,2238.0
postgres,sub collection id in list,exec,2943.0,1145.401630988787,1033.0,441.14065395415366,0.3851405847687956,479.0,1715.8000000000002,1913.6000000000004,2149.959999999999,2663.0
mongo,sub collection id in list,total,2832.0,1141.550847457627,1121.0,114.538295256092,0.10033569289636353,871.0,1312.0,1367.0,1446.0,1473.0
neo4j,sub collection id in list,total,2845.0,1687.182776801406,1660.0,198.20377727561913,0.11747617389230212,1147.0,1970.6,2070.0,2192.56,2247.0
