form_id;collectionSize;actual_fastest;actual_fastest_duration;n_drivers_compared;ml_predicted_fastest;ml_pred_duration_postgres;ml_pred_duration_mongo;ml_pred_duration_neo4j;majority_predicted
-3890098727378472595;1000;postgres;1188.0252631578946;3;postgres;1393.9031372181273;4632.756155599967;1749.2342244943252;neo4j
-3890098727378472595;15000;postgres;4850.6;1;neo4j;5838.656168333658;8365.382657386432;2211.906908826599;neo4j
-3690558348516185085;100;neo4j;1440.810975609756;3;postgres;1792.2459852571865;7325.5292686476605;1995.012601870335;neo4j
-3690558348516185085;500;postgres;1491.4401622718053;3;postgres;1919.2389290033443;7432.1757401272735;2008.2318214226857;neo4j
-3690558348516185085;1000;neo4j;1732.9884823848238;3;neo4j;2077.9801086860416;7565.483829476791;2024.755845863124;neo4j
-3690558348516185085;9000;postgres;6852.452332657201;2;neo4j;4617.838983609202;9698.413259069055;2289.140236910138;neo4j
-3690558348516185085;15000;postgres;8608.356076759062;1;neo4j;6522.733139801572;11298.110331263251;2487.4285301953983;neo4j
-3347165239717756527;100;neo4j;1583.4320712694878;3;neo4j;3035.464503782593;7148.989733826669;1991.7333307768065;neo4j
-3186312978222321866;100;neo4j;1658.781737193764;3;neo4j;2299.5400764292267;2384.711891471635;1267.0589018308715;neo4j
-2997100093229795678;500;neo4j;1452.2392344497607;3;neo4j;2573.9947238819773;2293.798960609092;1207.9975672533733;neo4j
-2997100093229795678;1000;neo4j;1429.7909836065573;3;neo4j;2732.735903564675;2427.107049958608;1224.5215916938116;neo4j
-2997100093229795678;3000;neo4j;1519.4446721311476;3;neo4j;3367.700622295465;2960.3394073566747;1290.6176894555651;neo4j
-2976612325514127951;500;postgres;3754.2955555555554;3;neo4j;3223.888842517966;9057.913190178604;2193.1592985050684;neo4j
-2658033047011429709;100;neo4j;1446.4966592427618;3;postgres;1653.9184867326626;6063.923597048577;1857.7370020296578;neo4j
-2592638182945132307;1000;neo4j;1899.1559020044544;3;neo4j;4099.600486505919;9773.983162034314;2249.8502222511897;neo4j
-2526248153524971894;500;neo4j;1658.5421810699588;3;neo4j;2809.2539011342674;8216.578438317132;2123.5679885012137;neo4j
-2526248153524971894;9000;neo4j;4904.45;2;neo4j;5507.8539557401255;10482.815957258914;2404.476403988666;neo4j
-2526248153524971894;15000;postgres;9079.208888888888;1;neo4j;7412.748111932497;12082.513029453112;2602.7646972739262;neo4j
-2525549918523340614;500;postgres;1206.43429844098;3;neo4j;1732.2103339438995;2364.8714895839557;1331.5598983309442;neo4j
-2422562548704182940;100;neo4j;1492.837416481069;3;neo4j;2573.803834995063;6920.333799614598;1947.7416823303265;neo4j
-2280516890771335684;100;postgres;1113.6796714579054;3;postgres;1272.1391198296174;2921.5372203687575;1480.3666153152276;neo4j
-2280516890771335684;500;postgres;1493.3958974358975;3;postgres;1399.1320635757754;3028.1836918483705;1493.5858348675781;neo4j
