driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
neo4j,sub collection string in list,total,2950.0,3564.486779661017,2453.0,2404.754069889727,0.6746424432294904,914.0,7063.2,7589.299999999998,8948.51,12914.0
postgres,sub collection string in list,total,2946.0,1522.389341479973,1045.0,990.3597916679429,0.6505299036744282,487.0,2934.5,3181.0,3627.55,5528.0
mongo,very deep sub collection all,build,877.0,1397.218928164196,1383.0,46.27044735951725,0.03311610401693593,1323.0,1464.4,1502.1999999999998,1532.24,1544.0
neo4j,very deep sub collection all,build,898.0,7.739420935412027,8.0,0.6056446659649807,0.07825451942971981,6.0,8.0,9.0,9.0,9.0
postgres,very deep sub collection all,build,946.0,97.06236786469344,116.0,30.137205122378912,0.3104931992220783,56.0,127.0,130.0,146.54999999999995,187.0
mongo,very deep sub collection all,exec,905.0,2725.779005524862,2715.0,231.2372689657626,0.08483346173591823,2246.0,3042.6,3153.8,3273.96,3336.0
neo4j,very deep sub collection all,exec,925.0,2955.375135135135,2944.0,297.70654518066453,0.10073392769715234,2360.0,3373.6,3529.8,3705.76,3808.0
postgres,very deep sub collection all,exec,855.0,1446.2713450292397,1417.0,74.89495413251792,0.051784856548481056,1339.0,1558.0,1615.3,1679.8400000000001,1699.0
mongo,very deep sub collection all,total,892.0,4134.985426008969,4119.0,259.6163854157929,0.06278532054377059,3588.0,4503.9,4610.45,4819.990000000001,4869.0
neo4j,very deep sub collection all,total,925.0,2963.8821621621623,2952.0,297.57915414614143,0.10040181689580277,2368.0,3383.2,3538.6,3713.76,3816.0
postgres,very deep sub collection all,total,857.0,1545.899649941657,1533.0,80.96908209032763,0.05237667405732542,1406.0,1664.4,1708.0,1774.3199999999997,1783.0
mongo,very deep sub collection all only,build,853.0,1176.5275498241501,1165.0,41.68238111055953,0.035428308599139556,1079.0,1237.8000000000002,1269.0,1298.96,1311.0
neo4j,very deep sub collection all only,build,918.0,7.266884531590414,7.0,0.6031662095083223,0.08300203572607404,6.0,8.0,8.0,9.0,9.0
postgres,very deep sub collection all only,build,946.0,44.501057082452434,38.0,14.538855036064605,0.32670808266704154,27.0,61.0,68.0,79.0,94.0
mongo,very deep sub collection all only,exec,943.0,2704.2767762460235,2648.0,290.75368195151884,0.10751624408620344,2145.0,3108.0,3252.0,3464.16,3547.0
